School_name,school_section,cca_grouping_desc,cca_generic_name,cca_customized_name
NORTH VISTA SECONDARY SCHOOL,SECONDARY (S1-S5),SCOUTS,UNIFORMED GROUPS,
NORTH VISTA SECONDARY SCHOOL,SECONDARY (S1-S5),SINGAPORE YOUTH FLYING CLUB,CLUBS AND SOCIETIES,
NORTH VISTA SECONDARY SCHOOL,SECONDARY (S1-S5),SP-CCA (WATER POLO),PHYSICAL SPORTS,
NORTH VISTA SECONDARY SCHOOL,SECONDARY (S1-S5),ST JOHN BRIGADE,UNIFORMED GROUPS,
NORTH VISTA SECONDARY SCHOOL,SECONDARY (S1-S5),STRING ENSEMBLE,VISUAL AND PERFORMING ARTS,
NORTH VISTA SECONDARY SCHOOL,SECONDARY (S1-S5),STUDENT LEADERSHIP (COUNCIL),OTHERS,
NORTH VISTA SECONDARY SCHOOL,SECONDARY (S1-S5),STUDENT LEADERSHIP (HOUSE),OTHERS,
NORTH VISTA SECONDARY SCHOOL,SECONDARY (S1-S5),STUDENT LEADERSHIP (PEER SUPPORT),OTHERS,
NORTH VISTA SECONDARY SCHOOL,SECONDARY (S1-S5),STUDENT LEADERSHIP (PREFECT),OTHERS,
NORTH VISTA SECONDARY SCHOOL,SECONDARY (S1-S5),TRACK AND FIELD,PHYSICAL SPORTS,ATHLETICS
NORTHBROOKS SECONDARY SCHOOL,SECONDARY (S1-S5),AERO-MODELLING,CLUBS AND SOCIETIES,
NORTHBROOKS SECONDARY SCHOOL,SECONDARY (S1-S5),AIKIDO,PHYSICAL SPORTS,
NORTHBROOKS SECONDARY SCHOOL,SECONDARY (S1-S5),ANGKLUNG/KULINTANG ENSEMBLE,VISUAL AND PERFORMING ARTS,
NORTHBROOKS SECONDARY SCHOOL,SECONDARY (S1-S5),ANIMATION,CLUBS AND SOCIETIES,
NORTHBROOKS SECONDARY SCHOOL,SECONDARY (S1-S5),ARCHERY,PHYSICAL SPORTS,
NORTHBROOKS SECONDARY SCHOOL,SECONDARY (S1-S5),ART AND CRAFTS,CLUBS AND SOCIETIES,
NORTHBROOKS SECONDARY SCHOOL,SECONDARY (S1-S5),ARTISTIC GYMNASTICS,PHYSICAL SPORTS,
NORTHBROOKS SECONDARY SCHOOL,SECONDARY (S1-S5),ARTISTIC SWIMMING,PHYSICAL SPORTS,
NORTHBROOKS SECONDARY SCHOOL,SECONDARY (S1-S5),AUDIO VISUAL AID,CLUBS AND SOCIETIES,
NORTHBROOKS SECONDARY SCHOOL,SECONDARY (S1-S5),BADMINTON,PHYSICAL SPORTS,
NORTHBROOKS SECONDARY SCHOOL,SECONDARY (S1-S5),BALLET,VISUAL AND PERFORMING ARTS,
NORTHBROOKS SECONDARY SCHOOL,SECONDARY (S1-S5),BASKETBALL,PHYSICAL SPORTS,
NORTHBROOKS SECONDARY SCHOOL,SECONDARY (S1-S5),BIOLOGICAL SCIENCE,CLUBS AND SOCIETIES,
NORTHBROOKS SECONDARY SCHOOL,SECONDARY (S1-S5),BOCCIA,PHYSICAL SPORTS,
NORTHBROOKS SECONDARY SCHOOL,SECONDARY (S1-S5),BOWLING,PHYSICAL SPORTS,
NORTHBROOKS SECONDARY SCHOOL,SECONDARY (S1-S5),BOYS' BRIGADE,UNIFORMED GROUPS,
NORTHBROOKS SECONDARY SCHOOL,SECONDARY (S1-S5),CONCERT BAND,VISUAL AND PERFORMING ARTS,
NORTHBROOKS SECONDARY SCHOOL,SECONDARY (S1-S5),ENGLISH DRAMA,VISUAL AND PERFORMING ARTS,
NORTHBROOKS SECONDARY SCHOOL,SECONDARY (S1-S5),ENVIRONMENTAL SCIENCE,CLUBS AND SOCIETIES,
NORTHBROOKS SECONDARY SCHOOL,SECONDARY (S1-S5),FLOORBALL,PHYSICAL SPORTS,
NORTHBROOKS SECONDARY SCHOOL,SECONDARY (S1-S5),GUITAR ENSEMBLE,VISUAL AND PERFORMING ARTS,
NORTHBROOKS SECONDARY SCHOOL,SECONDARY (S1-S5),GUZHENG ENSEMBLE,VISUAL AND PERFORMING ARTS,
NORTHBROOKS SECONDARY SCHOOL,SECONDARY (S1-S5),INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),CLUBS AND SOCIETIES,
NORTHBROOKS SECONDARY SCHOOL,SECONDARY (S1-S5),MODERN DANCE,VISUAL AND PERFORMING ARTS,
NORTHBROOKS SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL CADET CORPS (AIR),UNIFORMED GROUPS,
NORTHBROOKS SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL POLICE CADET CORPS,UNIFORMED GROUPS,
NORTHBROOKS SECONDARY SCHOOL,SECONDARY (S1-S5),OUTDOOR ADVENTURE,PHYSICAL SPORTS,
NORTHBROOKS SECONDARY SCHOOL,SECONDARY (S1-S5),RED CROSS YOUTH,UNIFORMED GROUPS,
NORTHBROOKS SECONDARY SCHOOL,SECONDARY (S1-S5),SP-CCA (ATHLETICS),PHYSICAL SPORTS,
NORTHBROOKS SECONDARY SCHOOL,SECONDARY (S1-S5),STUDENT LEADERSHIP (COUNCIL),OTHERS,
NORTHLAND PRIMARY SCHOOL,PRIMARY,ART AND CRAFTS,CLUBS AND SOCIETIES,ART CLUB
NORTHLAND PRIMARY SCHOOL,PRIMARY,BASKETBALL,PHYSICAL SPORTS,
NORTHLAND PRIMARY SCHOOL,PRIMARY,CHINESE DANCE,VISUAL AND PERFORMING ARTS,CHINESE CULTURAL DANCE
NORTHLAND PRIMARY SCHOOL,PRIMARY,CHOIR,VISUAL AND PERFORMING ARTS,CHOIR
NORTHLAND PRIMARY SCHOOL,PRIMARY,ENGLISH DRAMA,VISUAL AND PERFORMING ARTS,DRAMA CLUB
NORTHLAND PRIMARY SCHOOL,PRIMARY,FOOTBALL,PHYSICAL SPORTS,
NORTHLAND PRIMARY SCHOOL,PRIMARY,GIRL GUIDES (BROWNIES),UNIFORMED GROUPS,BROWNIES
NORTHLAND PRIMARY SCHOOL,PRIMARY,HANDBELL ENSEMBLE,VISUAL AND PERFORMING ARTS,
NORTHLAND PRIMARY SCHOOL,PRIMARY,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),CLUBS AND SOCIETIES,ROBOTICS CLUB
NORTHLAND PRIMARY SCHOOL,PRIMARY,INTERNATIONAL CHESS,CLUBS AND SOCIETIES,CHESS CLUB
NORTHLAND PRIMARY SCHOOL,PRIMARY,MALAY CULTURE AND LANGUAGE,CLUBS AND SOCIETIES,
NORTHLAND PRIMARY SCHOOL,PRIMARY,MODERN DANCE,VISUAL AND PERFORMING ARTS,
NORTHLAND PRIMARY SCHOOL,PRIMARY,NETBALL,PHYSICAL SPORTS,
NORTHLAND PRIMARY SCHOOL,PRIMARY,SCOUTS,UNIFORMED GROUPS,CUB SCOUTS
NORTHLAND PRIMARY SCHOOL,PRIMARY,STRING ENSEMBLE,VISUAL AND PERFORMING ARTS,
NORTHLAND PRIMARY SCHOOL,PRIMARY,TRACK AND FIELD,PHYSICAL SPORTS,
NORTHLAND PRIMARY SCHOOL,PRIMARY,WUSHU,PHYSICAL SPORTS,
NORTHLAND SECONDARY SCHOOL,SECONDARY (S1-S5),BASKETBALL,PHYSICAL SPORTS,
NORTHLAND SECONDARY SCHOOL,SECONDARY (S1-S5),BOWLING,PHYSICAL SPORTS,
NORTHLAND SECONDARY SCHOOL,SECONDARY (S1-S5),CONCERT BAND,VISUAL AND PERFORMING ARTS,
NORTHLAND SECONDARY SCHOOL,SECONDARY (S1-S5),DESIGN AND INNOVATION,CLUBS AND SOCIETIES,HEART CLUB
NORTHLAND SECONDARY SCHOOL,SECONDARY (S1-S5),FLOORBALL,PHYSICAL SPORTS,
NORTHLAND SECONDARY SCHOOL,SECONDARY (S1-S5),FOOTBALL,PHYSICAL SPORTS,CLUSTER FOOTBALL
NORTHLAND SECONDARY SCHOOL,SECONDARY (S1-S5),GIRL GUIDES,UNIFORMED GROUPS,
NORTHLAND SECONDARY SCHOOL,SECONDARY (S1-S5),GUZHENG ENSEMBLE,VISUAL AND PERFORMING ARTS,
NORTHLAND SECONDARY SCHOOL,SECONDARY (S1-S5),HOCKEY,PHYSICAL SPORTS,
NORTHLAND SECONDARY SCHOOL,SECONDARY (S1-S5),INDIAN DANCE,VISUAL AND PERFORMING ARTS,
NORTHLAND SECONDARY SCHOOL,SECONDARY (S1-S5),INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),CLUBS AND SOCIETIES,
NORTHLAND SECONDARY SCHOOL,SECONDARY (S1-S5),MALAY DANCE,VISUAL AND PERFORMING ARTS,
NORTHLAND SECONDARY SCHOOL,SECONDARY (S1-S5),MODERN DANCE,VISUAL AND PERFORMING ARTS,MCAC
NORTHLAND SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL CADET CORPS (AIR),UNIFORMED GROUPS,
NORTHLAND SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL POLICE CADET CORPS,UNIFORMED GROUPS,
NORTHLAND SECONDARY SCHOOL,SECONDARY (S1-S5),NETBALL,PHYSICAL SPORTS,
NORTHLAND SECONDARY SCHOOL,SECONDARY (S1-S5),PIPE BAND,VISUAL AND PERFORMING ARTS,
NORTHLAND SECONDARY SCHOOL,SECONDARY (S1-S5),ROBOTICS,CLUBS AND SOCIETIES,CLUSTER INFOCOMM-ROBOTICS
NORTHLAND SECONDARY SCHOOL,SECONDARY (S1-S5),WUSHU,PHYSICAL SPORTS,
NORTHLIGHT SCHOOL,SECONDARY (S1-S4),ART AND CRAFTS,CLUBS AND SOCIETIES,ART CLUB
NORTHLIGHT SCHOOL,SECONDARY (S1-S4),BASKETBALL,PHYSICAL SPORTS,
NORTHLIGHT SCHOOL,SECONDARY (S1-S4),ENGLISH DRAMA,VISUAL AND PERFORMING ARTS,MUSIC CLUB
NORTHLIGHT SCHOOL,SECONDARY (S1-S4),ENTREPRENEURSHIP,CLUBS AND SOCIETIES,
NORTHLIGHT SCHOOL,SECONDARY (S1-S4),ENVIRONMENTAL SCIENCE,CLUBS AND SOCIETIES,ENVIRONMENTAL CLUB
NORTHLIGHT SCHOOL,SECONDARY (S1-S4),FLOORBALL,PHYSICAL SPORTS,
NORTHLIGHT SCHOOL,SECONDARY (S1-S4),FOOD AND CONSUMER EDUCATION,CLUBS AND SOCIETIES,CLUB DE CUISINE
NORTHLIGHT SCHOOL,SECONDARY (S1-S4),FOOTBALL,PHYSICAL SPORTS,
NORTHLIGHT SCHOOL,SECONDARY (S1-S4),GIRL GUIDES,UNIFORMED GROUPS,
NORTHLIGHT SCHOOL,SECONDARY (S1-S4),INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),CLUBS AND SOCIETIES,IT CLUB
NORTHLIGHT SCHOOL,SECONDARY (S1-S4),MODERN DANCE,VISUAL AND PERFORMING ARTS,DANCE
NORTHLIGHT SCHOOL,SECONDARY (S1-S4),NATIONAL CIVIL DEFENCE CADET CORPS,UNIFORMED GROUPS,
NORTHLIGHT SCHOOL,SECONDARY (S1-S4),NETBALL,PHYSICAL SPORTS,
NORTHLIGHT SCHOOL,SECONDARY (S1-S4),READING AND WRITING,CLUBS AND SOCIETIES,RIPPLES CLUB
NORTHLIGHT SCHOOL,SECONDARY (S1-S4),SEPAKTAKRAW,PHYSICAL SPORTS,
NORTHLIGHT SCHOOL,SECONDARY (S1-S4),STUDENT LEADERSHIP (COUNCIL),OTHERS,
NORTHLIGHT SCHOOL,SECONDARY (S1-S4),TRACK AND FIELD,PHYSICAL SPORTS,
NORTHOAKS PRIMARY SCHOOL,PRIMARY,ART AND CRAFTS,CLUBS AND SOCIETIES,
NORTHOAKS PRIMARY SCHOOL,PRIMARY,CHOIR,VISUAL AND PERFORMING ARTS,
NORTHOAKS PRIMARY SCHOOL,PRIMARY,ENVIRONMENTAL SCIENCE,CLUBS AND SOCIETIES,
NORTHOAKS PRIMARY SCHOOL,PRIMARY,FLOORBALL,PHYSICAL SPORTS,
NORTHOAKS PRIMARY SCHOOL,PRIMARY,FOOTBALL,PHYSICAL SPORTS,
NORTHOAKS PRIMARY SCHOOL,PRIMARY,GUITAR ENSEMBLE,VISUAL AND PERFORMING ARTS,
NORTHOAKS PRIMARY SCHOOL,PRIMARY,INFOCOMM TECHNOLOGY (COMPUTING),CLUBS AND SOCIETIES,
NORTHOAKS PRIMARY SCHOOL,PRIMARY,MODERN DANCE,VISUAL AND PERFORMING ARTS,
NORTHOAKS PRIMARY SCHOOL,PRIMARY,NETBALL,PHYSICAL SPORTS,
NORTHOAKS PRIMARY SCHOOL,PRIMARY,WUSHU,PHYSICAL SPORTS,
NORTHSHORE PRIMARY SCHOOL,PRIMARY,ART AND CRAFTS,CLUBS AND SOCIETIES,VISUAL ARTS CLUB
NORTHSHORE PRIMARY SCHOOL,PRIMARY,BADMINTON,PHYSICAL SPORTS,
NORTHSHORE PRIMARY SCHOOL,PRIMARY,BASKETBALL,PHYSICAL SPORTS,
NORTHSHORE PRIMARY SCHOOL,PRIMARY,CHOIR,VISUAL AND PERFORMING ARTS,
NORTHSHORE PRIMARY SCHOOL,PRIMARY,DIGITAL MEDIA,CLUBS AND SOCIETIES,MEDIA & STEM
NORTHSHORE PRIMARY SCHOOL,PRIMARY,ENVIRONMENTAL SCIENCE,CLUBS AND SOCIETIES,GREEN CLUB
NORTHSHORE PRIMARY SCHOOL,PRIMARY,MODERN DANCE,VISUAL AND PERFORMING ARTS,
NORTHSHORE PRIMARY SCHOOL,PRIMARY,MODULAR CCA (SPORTS),PHYSICAL SPORTS,
NORTHSHORE PRIMARY SCHOOL,PRIMARY,SCOUTS,UNIFORMED GROUPS,
NORTHSHORE PRIMARY SCHOOL,PRIMARY,STRING ENSEMBLE,VISUAL AND PERFORMING ARTS,
NORTHSHORE PRIMARY SCHOOL,PRIMARY,TRACK AND FIELD,PHYSICAL SPORTS,
NORTHSHORE PRIMARY SCHOOL,PRIMARY,WUSHU,PHYSICAL SPORTS,
OASIS PRIMARY SCHOOL,PRIMARY,ART AND CRAFTS,CLUBS AND SOCIETIES,
OASIS PRIMARY SCHOOL,PRIMARY,BADMINTON,PHYSICAL SPORTS,
OASIS PRIMARY SCHOOL,PRIMARY,ENGLISH DRAMA,VISUAL AND PERFORMING ARTS,
OASIS PRIMARY SCHOOL,PRIMARY,ENVIRONMENTAL SCIENCE,CLUBS AND SOCIETIES,
OASIS PRIMARY SCHOOL,PRIMARY,FOOTBALL,PHYSICAL SPORTS,
OASIS PRIMARY SCHOOL,PRIMARY,GUITAR ENSEMBLE,VISUAL AND PERFORMING ARTS,
OASIS PRIMARY SCHOOL,PRIMARY,GUZHENG ENSEMBLE,VISUAL AND PERFORMING ARTS,
OASIS PRIMARY SCHOOL,PRIMARY,HOCKEY,PHYSICAL SPORTS,
OASIS PRIMARY SCHOOL,PRIMARY,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),CLUBS AND SOCIETIES,
OASIS PRIMARY SCHOOL,PRIMARY,MODERN DANCE,VISUAL AND PERFORMING ARTS,
OASIS PRIMARY SCHOOL,PRIMARY,MODULAR CCA (SPORTS),PHYSICAL SPORTS,
OASIS PRIMARY SCHOOL,PRIMARY,PUBLICATION,CLUBS AND SOCIETIES,
OASIS PRIMARY SCHOOL,PRIMARY,ROCKWALL CLIMBING,PHYSICAL SPORTS,
OASIS PRIMARY SCHOOL,PRIMARY,SCOUTS,UNIFORMED GROUPS,
OASIS PRIMARY SCHOOL,PRIMARY,TABLE TENNIS,PHYSICAL SPORTS,
OASIS PRIMARY SCHOOL,PRIMARY,WUSHU,PHYSICAL SPORTS,
OPERA ESTATE PRIMARY SCHOOL,PRIMARY,ANGKLUNG/KULINTANG ENSEMBLE,VISUAL AND PERFORMING ARTS,
OPERA ESTATE PRIMARY SCHOOL,PRIMARY,ART AND CRAFTS,CLUBS AND SOCIETIES,
OPERA ESTATE PRIMARY SCHOOL,PRIMARY,ENGLISH DRAMA,VISUAL AND PERFORMING ARTS,
OPERA ESTATE PRIMARY SCHOOL,PRIMARY,FLOORBALL,PHYSICAL SPORTS,
OPERA ESTATE PRIMARY SCHOOL,PRIMARY,FOOTBALL,PHYSICAL SPORTS,
OPERA ESTATE PRIMARY SCHOOL,PRIMARY,GIRL GUIDES (BROWNIES),UNIFORMED GROUPS,
OPERA ESTATE PRIMARY SCHOOL,PRIMARY,INFOCOMM TECHNOLOGY (COMPUTING),CLUBS AND SOCIETIES,
OPERA ESTATE PRIMARY SCHOOL,PRIMARY,MODERN DANCE,VISUAL AND PERFORMING ARTS,
OPERA ESTATE PRIMARY SCHOOL,PRIMARY,NETBALL,PHYSICAL SPORTS,
OPERA ESTATE PRIMARY SCHOOL,PRIMARY,SCOUTS,UNIFORMED GROUPS,
OPERA ESTATE PRIMARY SCHOOL,PRIMARY,STRATEGY GAMES,CLUBS AND SOCIETIES,
OPERA ESTATE PRIMARY SCHOOL,PRIMARY,STUDENT LEADERSHIP (PREFECT),OTHERS,
ORCHID PARK SECONDARY SCHOOL,SECONDARY (S1-S5),ART AND CRAFTS,CLUBS AND SOCIETIES,
ORCHID PARK SECONDARY SCHOOL,SECONDARY (S1-S5),BASKETBALL,PHYSICAL SPORTS,
ORCHID PARK SECONDARY SCHOOL,SECONDARY (S1-S5),BOYS' BRIGADE,UNIFORMED GROUPS,
ORCHID PARK SECONDARY SCHOOL,SECONDARY (S1-S5),CONCERT BAND,VISUAL AND PERFORMING ARTS,
ORCHID PARK SECONDARY SCHOOL,SECONDARY (S1-S5),ENGLISH DRAMA,VISUAL AND PERFORMING ARTS,
ORCHID PARK SECONDARY SCHOOL,SECONDARY (S1-S5),FLOORBALL,PHYSICAL SPORTS,
ORCHID PARK SECONDARY SCHOOL,SECONDARY (S1-S5),FOOTBALL,PHYSICAL SPORTS,
ORCHID PARK SECONDARY SCHOOL,SECONDARY (S1-S5),GIRLS' BRIGADE,UNIFORMED GROUPS,
ORCHID PARK SECONDARY SCHOOL,SECONDARY (S1-S5),GUITAR ENSEMBLE,VISUAL AND PERFORMING ARTS,
ORCHID PARK SECONDARY SCHOOL,SECONDARY (S1-S5),HOCKEY,PHYSICAL SPORTS,
ORCHID PARK SECONDARY SCHOOL,SECONDARY (S1-S5),INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),CLUBS AND SOCIETIES,
ORCHID PARK SECONDARY SCHOOL,SECONDARY (S1-S5),MODERN DANCE,VISUAL AND PERFORMING ARTS,
ORCHID PARK SECONDARY SCHOOL,SECONDARY (S1-S5),MODULAR CCA (C&S),CLUBS AND SOCIETIES,
ORCHID PARK SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL CADET CORPS (SEA),UNIFORMED GROUPS,
ORCHID PARK SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL CIVIL DEFENCE CADET CORPS,UNIFORMED GROUPS,
ORCHID PARK SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL POLICE CADET CORPS,UNIFORMED GROUPS,
ORCHID PARK SECONDARY SCHOOL,SECONDARY (S1-S5),NETBALL,PHYSICAL SPORTS,
ORCHID PARK SECONDARY SCHOOL,SECONDARY (S1-S5),SEPAKTAKRAW,PHYSICAL SPORTS,
ORCHID PARK SECONDARY SCHOOL,SECONDARY (S1-S5),SINGAPORE YOUTH FLYING CLUB,CLUBS AND SOCIETIES,
ORCHID PARK SECONDARY SCHOOL,SECONDARY (S1-S5),SP-CCA (ATHLETICS),PHYSICAL SPORTS,
ORCHID PARK SECONDARY SCHOOL,SECONDARY (S1-S5),STUDENT LEADERSHIP (COUNCIL),OTHERS,
ORCHID PARK SECONDARY SCHOOL,SECONDARY (S1-S5),STUDENT LEADERSHIP (PEER SUPPORT),OTHERS,
ORCHID PARK SECONDARY SCHOOL,SECONDARY (S1-S5),TAEKWONDO,PHYSICAL SPORTS,
ORCHID PARK SECONDARY SCHOOL,SECONDARY (S1-S5),VOLLEYBALL,PHYSICAL SPORTS,
ORCHID PARK SECONDARY SCHOOL,SECONDARY (S1-S5),WUSHU,PHYSICAL SPORTS,
OUTRAM SECONDARY SCHOOL,SECONDARY (S1-S5),AUDIO VISUAL AID,CLUBS AND SOCIETIES,
OUTRAM SECONDARY SCHOOL,SECONDARY (S1-S5),BADMINTON,PHYSICAL SPORTS,
OUTRAM SECONDARY SCHOOL,SECONDARY (S1-S5),BASKETBALL,PHYSICAL SPORTS,
OUTRAM SECONDARY SCHOOL,SECONDARY (S1-S5),CONCERT BAND,VISUAL AND PERFORMING ARTS,
OUTRAM SECONDARY SCHOOL,SECONDARY (S1-S5),FRISBEE,PHYSICAL SPORTS,
OUTRAM SECONDARY SCHOOL,SECONDARY (S1-S5),MODERN DANCE,VISUAL AND PERFORMING ARTS,
OUTRAM SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL CADET CORPS (LAND),UNIFORMED GROUPS,
OUTRAM SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL CIVIL DEFENCE CADET CORPS,UNIFORMED GROUPS,
OUTRAM SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL POLICE CADET CORPS,UNIFORMED GROUPS,
OUTRAM SECONDARY SCHOOL,SECONDARY (S1-S5),NETBALL,PHYSICAL SPORTS,
OUTRAM SECONDARY SCHOOL,SECONDARY (S1-S5),PHOTOGRAPHY,CLUBS AND SOCIETIES,
OUTRAM SECONDARY SCHOOL,SECONDARY (S1-S5),ROCKWALL CLIMBING,PHYSICAL SPORTS,
OUTRAM SECONDARY SCHOOL,SECONDARY (S1-S5),STUDENT LEADERSHIP (COUNCIL),OTHERS,
OUTRAM SECONDARY SCHOOL,SECONDARY (S1-S5),STUDENT LEADERSHIP (HOUSE),OTHERS,
OUTRAM SECONDARY SCHOOL,SECONDARY (S1-S5),STUDENT LEADERSHIP (PEER SUPPORT),OTHERS,
OUTRAM SECONDARY SCHOOL,SECONDARY (S1-S5),SWIMMING,PHYSICAL SPORTS,
OUTRAM SECONDARY SCHOOL,SECONDARY (S1-S5),WATER POLO,PHYSICAL SPORTS,
PALM VIEW PRIMARY SCHOOL,PRIMARY,ART AND CRAFTS,CLUBS AND SOCIETIES,
PALM VIEW PRIMARY SCHOOL,PRIMARY,BADMINTON,PHYSICAL SPORTS,
PALM VIEW PRIMARY SCHOOL,PRIMARY,BASKETBALL,PHYSICAL SPORTS,
PALM VIEW PRIMARY SCHOOL,PRIMARY,CHOIR,VISUAL AND PERFORMING ARTS,
PALM VIEW PRIMARY SCHOOL,PRIMARY,ENGLISH DRAMA,VISUAL AND PERFORMING ARTS,
PALM VIEW PRIMARY SCHOOL,PRIMARY,FOOTBALL,PHYSICAL SPORTS,
PALM VIEW PRIMARY SCHOOL,PRIMARY,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),CLUBS AND SOCIETIES,
PALM VIEW PRIMARY SCHOOL,PRIMARY,MODERN DANCE,VISUAL AND PERFORMING ARTS,
PALM VIEW PRIMARY SCHOOL,PRIMARY,NETBALL,PHYSICAL SPORTS,
PALM VIEW PRIMARY SCHOOL,PRIMARY,PHYSICAL SCIENCE,CLUBS AND SOCIETIES,
PALM VIEW PRIMARY SCHOOL,PRIMARY,ROBOTICS,CLUBS AND SOCIETIES,
PALM VIEW PRIMARY SCHOOL,PRIMARY,STUDENT LEADERSHIP (PREFECT),OTHERS,
PALM VIEW PRIMARY SCHOOL,PRIMARY,TABLE TENNIS,PHYSICAL SPORTS,
PARK VIEW PRIMARY SCHOOL,PRIMARY,ART AND CRAFTS,CLUBS AND SOCIETIES,
PARK VIEW PRIMARY SCHOOL,PRIMARY,CHOIR,VISUAL AND PERFORMING ARTS,Show Choir
PARK VIEW PRIMARY SCHOOL,PRIMARY,COMMUNITY SERVICE,CLUBS AND SOCIETIES,Student Leadership Council (SLC)
PARK VIEW PRIMARY SCHOOL,PRIMARY,"ENGLISH LANGUAGE, DRAMA AND DEBATING",CLUBS AND SOCIETIES,Drama Club
PARK VIEW PRIMARY SCHOOL,PRIMARY,ENVIRONMENTAL SCIENCE,CLUBS AND SOCIETIES,Environment Club
PARK VIEW PRIMARY SCHOOL,PRIMARY,FLOORBALL,PHYSICAL SPORTS,
PARK VIEW PRIMARY SCHOOL,PRIMARY,FOOTBALL,PHYSICAL SPORTS,
PARK VIEW PRIMARY SCHOOL,PRIMARY,GUZHENG ENSEMBLE,VISUAL AND PERFORMING ARTS,
PARK VIEW PRIMARY SCHOOL,PRIMARY,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),CLUBS AND SOCIETIES,Infocomm Club
PARK VIEW PRIMARY SCHOOL,PRIMARY,MATHEMATICS,CLUBS AND SOCIETIES,
PARK VIEW PRIMARY SCHOOL,PRIMARY,MODERN DANCE,VISUAL AND PERFORMING ARTS,Creative Dance
PARK VIEW PRIMARY SCHOOL,PRIMARY,NETBALL,PHYSICAL SPORTS,
PARK VIEW PRIMARY SCHOOL,PRIMARY,SCOUTS,UNIFORMED GROUPS,
PARK VIEW PRIMARY SCHOOL,PRIMARY,STUDENT LEADERSHIP (COUNCIL),OTHERS,
PARK VIEW PRIMARY SCHOOL,PRIMARY,STUDENT LEADERSHIP (HOUSE),OTHERS,
PARK VIEW PRIMARY SCHOOL,PRIMARY,STUDENT LEADERSHIP (PEER SUPPORT),OTHERS,
PARK VIEW PRIMARY SCHOOL,PRIMARY,STUDENT LEADERSHIP (PREFECT),OTHERS,
PARK VIEW PRIMARY SCHOOL,PRIMARY,VOLLEYBALL,PHYSICAL SPORTS,
PARK VIEW PRIMARY SCHOOL,PRIMARY,WUSHU,PHYSICAL SPORTS,
PASIR RIS CREST SECONDARY SCHOOL,SECONDARY (S1-S5),AUDIO VISUAL AID,CLUBS AND SOCIETIES,AV/PA CLUB
PASIR RIS CREST SECONDARY SCHOOL,SECONDARY (S1-S5),BOWLING,PHYSICAL SPORTS,
PASIR RIS CREST SECONDARY SCHOOL,SECONDARY (S1-S5),CHINESE ORCHESTRA,VISUAL AND PERFORMING ARTS,
PASIR RIS CREST SECONDARY SCHOOL,SECONDARY (S1-S5),CHOIR,VISUAL AND PERFORMING ARTS,
PASIR RIS CREST SECONDARY SCHOOL,SECONDARY (S1-S5),CONCERT BAND,VISUAL AND PERFORMING ARTS,
PASIR RIS CREST SECONDARY SCHOOL,SECONDARY (S1-S5),DEBATING AND PUBLIC SPEAKING,CLUBS AND SOCIETIES,MEDIA COMMUNICATIONS CLUB
PASIR RIS CREST SECONDARY SCHOOL,SECONDARY (S1-S5),ENGLISH DRAMA,VISUAL AND PERFORMING ARTS,
PASIR RIS CREST SECONDARY SCHOOL,SECONDARY (S1-S5),FENCING,PHYSICAL SPORTS,
PASIR RIS CREST SECONDARY SCHOOL,SECONDARY (S1-S5),GIRL GUIDES,UNIFORMED GROUPS,
PASIR RIS CREST SECONDARY SCHOOL,SECONDARY (S1-S5),GUZHENG ENSEMBLE,VISUAL AND PERFORMING ARTS,
PASIR RIS CREST SECONDARY SCHOOL,SECONDARY (S1-S5),MODERN DANCE,VISUAL AND PERFORMING ARTS,
PASIR RIS CREST SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL CADET CORPS (LAND),UNIFORMED GROUPS,
PASIR RIS CREST SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL POLICE CADET CORPS,UNIFORMED GROUPS,
PASIR RIS CREST SECONDARY SCHOOL,SECONDARY (S1-S5),NETBALL,PHYSICAL SPORTS,
PASIR RIS CREST SECONDARY SCHOOL,SECONDARY (S1-S5),SAILING,PHYSICAL SPORTS,
PASIR RIS CREST SECONDARY SCHOOL,SECONDARY (S1-S5),SINGAPORE YOUTH FLYING CLUB,CLUBS AND SOCIETIES,
PASIR RIS CREST SECONDARY SCHOOL,SECONDARY (S1-S5),SOFTBALL,PHYSICAL SPORTS,
