school_name,url_address,address,postal_code,telephone_no,telephone_no_2,fax_no,fax_no_2,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,third_vp_name,fourth_vp_name,fifth_vp_name,sixth_vp_name,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code
ANGLO-CHINESE JUNIOR COLLEGE,https://acjc.moe.edu.sg,25 DOVER CLOSE EAST   ,139745,67750511,na,67775479,na,acjc@acjc.edu.sg,Buona Vista,"74, 95, 100, 105, 106, 111, 145, 147, 191, 196, 198, 602",MADAM KOH MING- LI VALARIE,MR ANG YUAN PENG,MS QUEK SI MIN,MADAM LIM SING THOE,na,na,na,QUEENSTOWN,WEST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,CHINESE,na,na
ANGLO-CHINESE SCHOOL (BARKER ROAD),http://www.acsbr.moe.edu.sg,60 BARKER ROAD   ,309919,62561633,na,62561366,na,acsbr@moe.edu.sg,"NEWTON MRT, STEVENS MRT","48, 66, 67, 170, 960, 972",MR KHOO TSE HORNG,MR CHEN HONG MING,"MR LEE YEE LEONG, KEYNES",MADAM MARIE LOH MEI LING,na,na,na,NOVENA,SOUTH,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
ANGLO-CHINESE SCHOOL (INDEPENDENT),https://www.acsindep.moe.edu.sg,121 DOVER ROAD   ,139650,67731633,na,67731433,na,acsindep@schools.gov.sg,"DOVER MRT, BUONA VISTA MRT, ONE-NORTH MRT","33, 74, 166, 196","MR PANG CHIN KEAT, KEVIN",MR CHIEW TECK TZER TERENCE,MR SOO MUN KEONG PATRICK,MRS TEO LAI CHENG JUDY-HO,DR YONG YUN LEONG ANDREW,MS ALICE TAN SHIH SHIN,na,QUEENSTOWN,SOUTH,INDEPENDENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,MIXED LEVEL (S1-JC2),No,No,Yes,Yes,CHINESE,MALAY,TAMIL
ANGLO-CHINESE SCHOOL (JUNIOR),www.acsj.moe.edu.sg,16 WINSTEDT ROAD   ,227988,67337911,67337912,67346518,na,acsj@moe.edu.sg,Newton MRT Station,"5, 54, 124, 143, 162, 162M, 167, 167e, 518, 518A, 972M",MISS CHEE CHUERN HWEI CHERYL,MR GOH SHEOW EN,MR FENG WENFU,MR AARON CHUA BEE HOCK,na,na,na,CENTRAL,SOUTH,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
ANGLO-CHINESE SCHOOL (PRIMARY),http://www.acspri.moe.edu.sg/,50 BARKER ROAD   ,309918,62501633,na,63531366,na,acps@moe.edu.sg,Newton MRT Station,"Bus 48, 66, 67, 170, 960, 972M",MRS LEONG-HO HIL MAY,MADAM TEH HSIAO CHUIN,MR HUANG JUNXIAN JACHIN,MADAM SEOW LAY YEN,na,na,na,NOVENA,SOUTH,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,Yes,No,CHINESE,MALAY,TAMIL
ANGSANA PRIMARY SCHOOL,https://angsanapri.moe.edu.sg/,51 Tampines Street 61   ,528565,67830427,na,67845293,na,angsana_pri@moe.edu.sg,Tampines,"Bus Service 68, 68A",MR WONG WOEN LONG,MADAM SULASNI BINTE ABDUL RAHMAN,MADAM LEE HUAY MENG CAROL,MR KONG CHEE CHIEW,na,na,na,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
ASSUMPTION ENGLISH SCHOOL,http://www.assumptionenglish.moe.edu.sg,622 UPPER BUKIT TIMAH ROAD   ,678117,65729100,na,67636560,na,aes@moe.edu.sg,CASHEW MRT,"67, 75, 170, 176, 178, 184, 961, 963, 970",MR TOH KIM YONG VINCENT,MISS WONG KER SIN,MR TAN WHYE WEE JEFFREY,MR QUEK SER HIANG,na,na,na,BUKIT PANJANG,WEST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
ASSUMPTION PATHWAY SCHOOL,http://www.aps.edu.sg,30 Cashew Road   ,679697,62793000,na,67622857,na,aps@schools.gov.sg,"DOWNTOWN LINE 2, CASHEW MRT","SBS Transit No 170, SMRT No 67, 75, 171, 176, 178, 184, 961, 963 & 970",MR STEPHEN CHIN,MRS TANG HUAY JIUAN NEE CHONG,MADAM SHABNAM LENA,na,na,na,na,BUKIT PANJANG,WEST,SPECIALISED INDEPENDENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S4),No,No,No,No,CHINESE,MALAY,TAMIL
BARTLEY SECONDARY SCHOOL,http://www.bartleysec.moe.edu.sg,10 JALAN BUNGA RAMPAI   ,538403,62889013,na,62805595,na,bartley_ss@moe.edu.sg,"BARTLEY MRT, TAI SENG MRT","22, 24, 28, 43, 58, 62, 70, 70M, 76, 80, 80A, 93, 158",MISS SEET YING LING BRITTA,MR NG CHOR YAM,MR KOH KAI HONG,MS SAIMA HANIF D/O MOHAMED HANIF,na,na,na,TOA PAYOH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
BEACON PRIMARY SCHOOL,https://beaconpri.moe.edu.sg/,36 Bukit Panjang Ring Road   ,679944,67697255,na,67697244,na,beaconprisch@moe.edu.sg,"Bangkit LRT, Fajar LRT Station, Bukit Panjang MRT","920, 922, 971, 972, 972A, 972M, 976",MISS NG SUAT THENG ANGELA,MADAM LELA BTE SHAMSUHADI,MISS MELISSA CHANG SUET MUN,MDM SOH SIOW YEN (SU XIAOYAN),na,na,na,BUKIT PANJANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
BEATTY SECONDARY SCHOOL,http://www.beattysec.moe.edu.sg,1 TOA PAYOH NORTH   ,318990,62569108,na,62542284,na,beatty_ss@moe.edu.sg,"BRADDELL MRT, TOA PAYOH MRT","13, 28, 56, 57, 59, 73, 88, 93, 105, 129, 153, 155, 157, 159, 163, 231, 232",MR HARMAN AUGUSTUS JOHLL,MR YEO KOK SAN WILLIAM,MISS SUM KAR MUN,na,na,na,na,TOA PAYOH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
BEDOK GREEN PRIMARY SCHOOL,http://www.bedokgreenpri.moe.edu.sg,1 BEDOK SOUTH AVE 2   ,469317,64425416,na,64491491,na,bgps@moe.edu.sg,"Bedok MRT Station, Tanah Merah MRT Station","Bus No. 2, 9, 12, 24, 31, 34 & 38",MR YONG YIK YEN BENJAMIN,MADAM SENTHIL POONKODI D/O R K,CHUA KOK SENG,na,na,na,na,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
BEDOK GREEN SECONDARY SCHOOL,http://www.bedokgreensec.moe.edu.sg,360 BEDOK NORTH AVE 3   ,469722,64463301,na,64465969,na,bgss@moe.edu.sg,"BEDOK MRT, BEDOK RESERVOIR MRT","14, 17, 18, 28, 46, 66, 67, 69, 168, 222, 228, 506",MR SHAW SWEE TAT,MISS SAKINAH BINTE MOHAMED SARIP,MR CHEONG HUEI LEONARD,MR LEE CHEE CHONG,na,na,na,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
BEDOK SOUTH SECONDARY SCHOOL,https://www.bedoksouthsec.moe.edu.sg/,1 JALAN LANGGAR BEDOK   ,468585,64414479,na,64491314,na,bsss@moe.edu.sg,TANAH MERAH MRT,"10, 14, 45",MR KOH YONG HWEE DARYL (XU RONGHUI),MR CHEN JINGYUAN ALVIN,MISS NURUL AIN BINTE RAMLI,na,na,na,na,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
BEDOK VIEW SECONDARY SCHOOL,http://www.bedokviewsec.moe.edu.sg,6 BEDOK SOUTH AVENUE 3   ,469293,64430563,na,64494286,na,bedokview_ss@moe.edu.sg,TANAH MERAH MRT,"2, 9, 12, 14, 24, 25, 31, 35, 38, 45, 46, 47, 48",MADAM CHENG HWEE YEANG,MR TYEBALLY AZIZ,MR NEO WEI CHUNG,na,na,na,na,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
BENDEMEER PRIMARY SCHOOL,http://www.bendemeerpri.moe.edu.sg/,91 BENDEMEER ROAD   ,339948,62982911,na,62995735,na,bendemeer_ps@moe.edu.sg,"Boon Keng, Kallang","13 23 31 61 64 65 65M 66 125, 125X, 133, 140, 147, 853, 857, 985",MADAM LIM KIM GEK,MRS LINDA TAN,MR TOH KIM SING (ZHUO JINSHENG),MR TOO MENG NGEE,na,na,na,KALLANG,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
BENDEMEER SECONDARY SCHOOL,http://www.bendemeersec.moe.edu.sg,1 ST WILFRED ROAD   ,327919,62927616,na,62932594,na,bendemeer_ss@moe.edu.sg,BOON KENG MRT,"13, 23, 31, 64, 65, 66, 125, 133, 140, 147, 857, 985",MS FOO SHEUE FENG,MR HO CHI CHENG,MR GOH KENG TENG,MR LOW YING NING,MR NG CHER HWA,na,na,KALLANG,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
BLANGAH RISE PRIMARY SCHOOL,http://www.blangahrisepri.moe.edu.sg/,91 TELOK BLANGAH HEIGHTS   ,109100,62717387,na,62763037,na,brps@moe.edu.sg,"Telok Blangah, Tiong Bahru & Redhill",SBS 273 & 124,MISS NG POR JOO PEARLY,MISS NARAYANASAMY UMA RANI,MR CHIONH BOON SOO,na,na,na,na,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
BOON LAY GARDEN PRIMARY SCHOOL,www.boonlaygardenpri.moe.edu.sg,20 BOON LAY DRIVE   ,649930,63160998,na,63160209,na,blgps@moe.edu.sg,Lakeside & Boon Lay,"30, 99, 154, 178, 180, 187, 240, 246",MADAM CHRISTINE LIM MIN HUI,MADAM NG BOON IN,MRS AVINASH MURUGESUVARI,MR OH CHIN CHYE (HU JINCAI),na,na,na,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
BOON LAY SECONDARY SCHOOL,https://www.boonlaysec.moe.edu.sg,11 JURONG WEST STREET 65   ,648354,67940161,na,67941324,na,blss@moe.edu.sg,Boon Lay,"30, 79, 99, 154, 157, 172, 174, 178, 179, 180, 181, 181M, 187, 192, 193, 194, 198, 199, 240, 241, 242, 243G/W, 246, 249, 251, 252, 258, 405, 502, 974",MR CHAN ZHENG MING,MR KOH CHON KIAT VINCENT,MR NAH HONG LEONG,MR TAN HWEE SIANG,na,na,na,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
BOWEN SECONDARY SCHOOL,http://www.bowensec.moe.edu.sg,2 LORONG NAPIRI   ,547529,63859466,na,63856559,na,bowen_ss@moe.edu.sg,"HOUGANG MRT, SERANGOON MRT, SENGKANG MRT","43, 70, 73, 103, 109, 156, 854, 25, 74, 74E, 76, 112, 132, 147, 165, 55",MR LOH CHIH HUI,MR CHEN ZHAOKAI BENJAMIN,MR GOH KEE YONG @ GOH CHONG HENG,na,na,na,na,HOUGANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
BROADRICK SECONDARY SCHOOL,http://www.broadricksec.moe.edu.sg,61 DAKOTA CRESCENT   ,399935,63445025,na,64471427,na,broadrick_ss@moe.edu.sg,DAKOTA MRT,"10, 16, 30, 31, 32, 33",MR NG TIONG NAM,MR BAMBANG PURNAMA PUTRA SHAKNI,MS NG FOONG MENG,na,na,na,na,GEYLANG,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
BUKIT BATOK SECONDARY SCHOOL,http://www.bukitbatoksec.moe.edu.sg,50 BUKIT BATOK WEST AVE 8   ,658962,63799413,na,65607006,na,bbss@moe.edu.sg,BUKIT BATOK MRT,"66, 66C, 157, 174, 174E, 178, 506, 941, 991",MISS WONG KAH WAI SHIRLEY,"MR CHENG POH HUAT, ALAN",MR CHAN TECK HONG DAVID,na,na,na,na,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
BUKIT MERAH SECONDARY SCHOOL,http://www.bukitmerahsec.moe.edu.sg,10 LENGKOK BAHRU   ,159050,64748934,na,64744122,na,bmss@moe.edu.sg,REDHILL MRT,"14, 32, 33, 63, 64, 120, 132, 139, 145, 147, 196, 197, 855, 961",MR DARREN CHONG WAI KI,MR KOH SIEW BOON,MS CHAN LAI YING,na,na,na,na,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
BUKIT PANJANG GOVT. HIGH SCHOOL,http://www.bpghs.moe.edu.sg,7 CHOA CHU KANG AVE 4   ,689809,67691031,na,67626576,na,bpghs@moe.edu.sg,CHOA CHU KANG MRT,"300, 983",MR SEET TIAT HEE,MDM TEO TING TING,MR TAN FONG WEI,na,na,na,na,CHOA CHU KANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,Yes,No,No,CHINESE,MALAY,TAMIL
BUKIT PANJANG PRIMARY SCHOOL,http://www.bukitpanjangpri.moe.edu.sg,109 CASHEW ROAD   ,679676,67691912,na,67637462,na,bpps@moe.edu.sg,From Pending LRT station to Choa Chu Kang MRT station,"75, 184",MADAM LEN LENG LENG TERESA KELLY,MR CHAN WENG KIT MARK,MADAM KAY HWEE GEAK,na,na,na,na,BUKIT PANJANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
BUKIT TIMAH PRIMARY SCHOOL,http://www.bukittimahpri.moe.edu.sg,111 Lorong Kismis   ,598112,64662863,na,64692179,na,bukittimahps@moe.edu.sg,"Beauty World, Bukit Batok and Clementi Stations",173,MISS LAU WAN SZE,MDM JAN LIN,"MADAM KOH LEE KUN, SHIRLYN",na,na,na,na,BUKIT TIMAH,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
BUKIT VIEW PRIMARY SCHOOL,http://www.bukitviewpri.moe.edu.sg,18 BUKIT BATOK STREET 21   ,659634,65661980,na,65635015,na,bukitview_ps@moe.edu.sg,Bukit Batok MRT Station,"173, 157, 178, 852, 66, 106, 61, 506, 963, 77",MADAM TEO ENG HUI,MRS LEE JUN WEN,MR TAY JIA MING TERENCE,MR GOH GIN HOWE,na,na,na,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
BUKIT VIEW SECONDARY SCHOOL,https://www.bukitviewsec.moe.edu.sg,16 BUKIT BATOK STREET 21   ,659633,65661990,na,65630945,na,bukitview_ss@moe.edu.sg,BUKIT BATOK MRT,"61, 66, 77, 106, 157, 173, 174, 178, 189, 506, 653, 852, 963, 990",MRS LEE HUI XIN,MR MAK YEW CHONG,MISS MRS ANNA LING,MR JUSTIN NEO,na,na,na,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
CANBERRA PRIMARY SCHOOL,http://www.canberrapri.moe.edu.sg,21 ADMIRALTY DRIVE   ,757714,67597433,na,67587312,na,canberra_ps@moe.edu.sg,Sembawang MRT Station,Bus No. 859,MR TAN SIAN YEOW TERENCE,MADAM ONG LIXIANG JOYCE,MR SHAH JAHAN B MOHAMED IQBAL,MR TAY YU ZHE,na,na,na,SEMBAWANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CANBERRA SECONDARY SCHOOL,https://canberrasec.moe.edu.sg,51 SEMBAWANG DRIVE   ,757699,67585070,na,67583110,na,canberra_ss@moe.edu.sg,SEMBAWANG MRT,"859, 962",MR LEONG KOK KEE,MRS AMANDA TAN,MR MUHAMMAD TIRMIDZI BIN ABDUL GHANI,na,na,na,na,SEMBAWANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
CANOSSA CATHOLIC PRIMARY SCHOOL,https://canossacatholicpri.moe.edu.sg/,1 Sallim Road   ,387621,68441418,na,68441417,na,ccps@moe.edu.sg,Nearest MRT station: Mattar Station (about 3-minute walk),"Aljunied Road (same side as CCPS): 62, 64, 100, Aljunied Road (opposite CCPS): 61, 62, 64, 66, 100, 135, 154, 155, Merpati Rd (after Jln Anggerek): 40, 61, 63, 65, 66, 135",MADAM SIA LU-MING EUGENIE,MR LEE KOK MENG CLEMENT,MR LIM TIAN SIONG,na,na,na,na,GEYLANG,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CANTONMENT PRIMARY SCHOOL,http://www.cantonmentpri.moe.edu.sg,1 CANTONMENT CLOSE   ,88256,65119555,na,65119556,na,cantonment_ps@moe.edu.sg,"Tanjong Pagar, Outram Park","121, 167, 196",MADAM FOO YIN PING GRACE,MRS JANE CHEAH,MR YEO SHO HOR,MR LOH SIANG KIANG,na,na,na,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CASUARINA PRIMARY SCHOOL,http://www.casuarinapri.moe.edu.sg/,30 PASIR RIS ST 41   ,518935,65837132,na,65836227,na,casuarina_ps@moe.edu.sg,Pasir Ris MRT Station,"Nos. 12, 21 & 358",MR POH CHEE YANG,MR TAYEB B RAJIB,MADAM HAFSAH BINTE ABDULLAH,na,na,na,na,PASIR RIS,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
